name;full_name;birth_date;age;height_cm;weight_kgs;positions;nationality;overall_rating;value_euro;wage_euro;preferred_foot;national_team;team_position;national_numb
M. Forss;Marcus Forss;6/18/1999;25;185.42;64.9;ST;Finland;61;450000;4000;Right;;;
K. Kakoi;_ ___;4/23/1991;33;190.5;89.8;GK;Japan;61;200000;1000;Right;;;
R. Yamazaki;__ __;3/14/1989;35;172.72;76.2;LM,ST;Japan;61;250000;2000;Right;;;
M. Krauß;Maximilian Krauß;11/24/1996;28;170.18;66.2;RW,ST;Germany;61;350000;1000;Right;;;
D. O'Shea;Dara O'Shea;3/4/1999;26;182.88;64.9;CB;Republic of Ireland;61;375000;2000;Right;;;
E. Fernández;Eduardo Fernández;12/16/1992;32;190.5;77.1;GK;Mexico;61;230000;6000;Right;;;
Lee Tae Ho;___ Tae Ho Lee;3/16/1991;33;185.42;79.8;CB;Korea Republic;61;240000;1000;Right;;;
A. Al Fiqi;Ahmed Al Fiqi;12/31/1992;32;175.26;66.2;RM;Saudi Arabia;61;300000;6000;Left;;;
Darío Poveda;Darío Poveda Romera;3/13/1997;27;185.42;74.8;ST;Spain;61;425000;6000;Right;;;
S. Boyd;Scott Boyd;6/4/1986;38;187.96;74.8;CB;Scotland;61;140000;1000;Right;;;
J. Keohane;Jimmy Keohane;1/22/1991;34;154.94;72.1;CDM,CAM;Republic of Ireland;61;240000;1000;Right;;;
J. Dinzeyi;Jonathan Dinzeyi;10/13/1999;25;182.88;83;CB;England;61;475000;5000;Right;;;
C. McCarthy;Conor McCarthy;4/11/1998;26;185.42;74.8;CB,RB;Republic of Ireland;61;500000;1000;Right;;;
Tang Jiashu;___;9/22/1990;34;182.88;78.9;CB,CDM,RB;China PR;61;210000;2000;Right;;;
Lee Jae Ik;___ Jae Ik Lee;5/21/1999;25;185.42;76.2;CB;Korea Republic;61;425000;1000;Right;;;
J. Asiri;Jaber Asiri;9/24/1997;27;152.4;64;ST;Saudi Arabia;61;450000;4000;Left;;;
V. Golemi_;Vladimir Golemi_;6/28/1991;33;193.04;83;CB;Serbia;61;250000;1000;Right;;;
S. Ruiz;Santiago Ruiz;12/1/1997;27;185.42;78.9;LB;Colombia;61;500000;1000;Left;;;
J. Houghton;Jordan Houghton;11/9/1995;29;182.88;78.9;CM,CDM;England;61;350000;3000;Right;;;
V. Müller;Valentino Müller;1/19/1999;26;175.26;68;CDM,CM;Austria;61;375000;1000;Right;;;
M. Quiñones;Mairon Quiñones;4/20/1996;28;172.72;69.9;LB,CB;Colombia;61;280000;1000;Left;;;
Bai Yuefeng;__;3/28/1987;37;154.94;73.9;RB;China PR;61;160000;3000;Right;;;
M. Reule;Maximilian Reule;2/1/1994;31;187.96;83.9;GK;Germany;61;250000;1000;Right;;;
J. Suárez;Jonathan Suárez;2/22/1997;28;152.4;76.2;RM;United States;61;375000;2000;Right;;;
Diego Pampín;Diego Varela Pampín;3/15/2000;24;175.26;71.2;LB,LM;Spain;61;450000;2000;Left;;;
D. Vlahovic;Dusan Vlahovic;1/28/2000;25;190.5;79.8;ST;Serbia;61;525000;5000;Left;;;
J. Lindsey;Jaylin Lindsey;3/27/2000;24;172.72;76.2;RB,LB;United States;61;450000;1000;Right;;;
J. Ogenia;Justin Ogenia;2/5/1999;26;154.94;72.1;RW;Curacao;61;425000;1000;Right;;;
A. Bennett;Alan Bennett;10/4/1981;43;187.96;84.8;CB;Republic of Ireland;61;30000;1000;Right;;;
T. Børkeeiet;Tobias Borchgrevink Børkeeiet;4/18/1999;25;185.42;74.8;CM,CDM;Norway;61;525000;1000;Right;;;
L. Gambin;Luke Gambin;3/16/1993;31;167.64;69.9;LM,CM;Malta;61;300000;2000;Left;;;
P. Tawiah;Philimon Tawiah;12/11/1998;26;172.72;69.9;LB;Ghana;61;350000;1000;Left;;;
M. Roffo;Manuel Roffo;4/4/2000;24;182.88;79.8;GK;Argentina;61;475000;1000;Right;;;
A. Evans;Antony Evans;9/23/1998;26;187.96;68;CAM;England;61;550000;1000;Right;;;
Yi Fan;__;3/8/1992;33;185.42;78.9;GK;China PR;61;230000;2000;Right;;;
L. Østigård;Leo Østigård;11/28/1999;25;182.88;79.8;CB;Norway;61;475000;3000;Right;;;
D. Duhaney;Demeaco Duhaney;10/13/1998;26;154.94;69.9;RB,LB;England;61;475000;3000;Right;;;
K. Kizito;Kwame Kizito;7/21/1996;28;187.96;73;ST;Ghana;61;375000;1000;Right;;;
K. Kristinsson;Kristófer Ingi Kristinsson;4/7/1999;25;190.5;71.2;LW,ST;Iceland;61;475000;1000;Right;;;
P. Smyth;Paul Smyth;9/10/1997;27;175.26;67.1;RM,ST;Northern Ireland;61;550000;1000;Right;;;
D. Mihajlovic;Dragan Mihajlovic;8/22/1991;33;152.4;73.9;RB,LM,LB,RM;Switzerland;61;240000;2000;Right;;;
K. Anzai;__ __;8/7/1994;30;172.72;68;RB,LB,RM;Japan;61;290000;1000;Left;;;
M. Wintzheimer;Manuel Wintzheimer;1/10/1999;26;154.94;77.1;ST;Germany;61;550000;2000;Right;;;
G. Lamardo;Gonzalo Lamardo;4/25/1997;27;167.64;67.1;CAM,CM;Argentina;61;400000;3000;Right;;;
N. Bazan;Nazareno Bazan;3/8/1999;26;182.88;73.9;ST;Argentina;61;550000;2000;Right;;;
J. Mendive;Joaquín Mendive;8/8/1996;28;152.4;68.9;GK;Argentina;61;300000;1000;Right;;;
Y. Schmid;Yannick Schmid;5/11/1995;29;185.42;76.2;CB;Switzerland;61;350000;2000;Right;;;
M. Rose;Mitchell Rose;7/4/1994;30;175.26;78;CM,RM,RB;England;61;325000;3000;Right;;;
J. Álvarez;Julián Álvarez;1/31/2000;25;170.18;71.2;ST;Argentina;61;525000;2000;Right;;;
T. Basila;Thomas Basila;4/30/1999;25;187.96;77.1;CB;France;61;500000;2000;Right;;;
F. Lesniak;Filip Lesniak;5/14/1996;28;175.26;69.9;CM;Slovakia;61;375000;2000;Right;;;
P. Farman;Paul Farman;11/2/1989;35;185.42;81.2;GK;England;61;180000;2000;Right;;;
J. Morias;Junior Morias;7/4/1995;29;172.72;88;ST;Jamaica;61;400000;3000;Right;;;
M. Lercher;Michael Lercher;1/4/1996;29;152.4;68.9;LB,LWB;Austria;61;300000;3000;Left;;;
E. Bytyqi;Enis Bytyqi;2/18/1997;28;152.4;76.2;ST,RM;Kosovo;61;375000;1000;Right;;;
L. Malagón;Luis Ángel Malagón Velázquez;3/2/1997;28;152.4;77.1;GK;Mexico;61;350000;1000;Right;;;
Bae Sin Yeong;___ Sin Yeong Bae;6/11/1992;32;154.94;68.9;CM;Korea Republic;61;300000;1000;Right;;;
Liang Xueming;___;8/2/1995;29;175.26;69.9;ST;China PR;61;350000;3000;Right;;;
S. Ayala;Jhoan Sebastián Ayala Sanabria;9/14/1995;29;154.94;78;CDM,CM;Colombia;61;325000;1000;Right;;;
W. Atkinson;Will Atkinson;10/14/1988;36;152.4;67.1;CM;England;61;240000;4000;Right;;;
M. Ellis;Mark Ellis;9/30/1988;36;187.96;78;CB;England;61;200000;2000;Right;;;
N. Temperini;Nicolás Temperini;2/9/1995;30;185.42;78;GK;Argentina;61;260000;2000;Right;;;
A. Morkaya;Arif Morkaya;5/30/1989;35;187.96;79.8;CDM;Turkey;61;200000;4000;Right;;;
R. D'Haese;Robbie D'Haese;2/25/1999;26;152.4;64.9;LM,CAM;Belgium;61;425000;1000;Right;;;
J. Albert;Josué Albert;1/21/1992;33;185.42;86.2;CB;France;61;260000;1000;Right;;;
J. Benteke;Jonathan Benteke Lifeka;4/28/1995;29;185.42;76.2;ST;Belgium;61;350000;3000;Right;;;
C. Calderón;Cristian Calderón;5/24/1997;27;170.18;66.2;LB;Mexico;61;425000;2000;Right;;;
M. Kamekawa;__ __;5/28/1993;31;175.26;64;LB,LWB;Japan;61;270000;2000;Right;;;
J. Bamert;Jan Bamert;3/9/1998;26;182.88;74.8;CB,RB,LB;Switzerland;61;500000;3000;Right;;;
E. Wichne;Eirik Wichne;5/12/1997;27;175.26;69.9;RB,RWB;Norway;61;375000;1000;Right;;;
J. Brinch;Jeppe Brinch-Vilhelmsen;5/8/1995;29;185.42;78.9;RB,CB;Denmark;61;325000;2000;Right;;;
S. Tka;Saïf Tka;4/20/1991;33;182.88;82.1;CB,RB;Tunisia;61;210000;2000;Right;;;
E. Cerna;Edwin Cerna;1/17/1998;27;172.72;64.9;LW;Mexico;61;475000;7000;Right;;;
M. Hewelt;Mateusz Hewelt;9/23/1996;28;185.42;78;GK;Poland;61;300000;6000;Right;;;
J. Mondragón;John Steven Mondragón;10/15/1994;30;154.94;74.8;CB;Colombia;61;325000;1000;Right;;;
E. Joseph;Evens Joseph;7/16/1999;25;152.4;71.2;LW,RW;France;61;525000;2000;Right;;;
J. Sánchez Purata;Juan Sánchez Purata;1/9/1998;27;187.96;78;CB;Mexico;61;425000;5000;Right;;;
Jung Seon Ho;___ ___;3/25/1989;35;182.88;78;CDM,CM;Korea Republic;61;200000;1000;Left;;;
J. Ponceau;Julien Ponceau;11/28/2000;24;170.18;59.9;CAM,RM;France;61;500000;1000;Right;;;
F. Sgarbi;Filippo Sgarbi;12/29/1997;27;190.5;83.9;CB;Italy;61;350000;1000;Right;;;
T. Warschewski;Tobias Warschewski;2/6/1998;27;187.96;78;ST;Germany;61;450000;1000;Right;;;
D. Barlaser;Daniel Barlaser;1/18/1997;28;182.88;62.1;CM,CDM;England;61;375000;5000;Right;;;
C. Omeje;Chidi Omeje;5/5/1990;34;182.88;78;ST;Nigeria;61;260000;1000;Right;;;
M. Taylor-Crossdale;Martell  Taylor-Crossdale;12/26/1999;25;185.42;77.1;ST;England;61;525000;8000;Right;;;
H. Wingo;Henry Wingo;10/4/1995;29;182.88;77.1;RM,LM,RB;United States;61;350000;1000;Right;;;
T. Taiwo;Tom Taiwo;2/27/1990;35;170.18;69.9;CM;England;61;250000;2000;Right;;;
M. Knudsen;Morten Knudsen;4/28/1995;29;152.4;69.9;CM,CDM;Denmark;61;350000;2000;Right;;;
M. Allende;Marcelo Ivan Allende Bravo;4/7/1999;25;165.1;63;CAM;Chile;61;400000;1000;Right;;;
C. Brandeborn;Christopher Brandeborn;3/5/1991;34;175.26;74.8;RW;Sweden;61;260000;1000;Right;;;
L. Scherff;Lukas Scherff;7/14/1996;28;175.26;69.9;LM,CAM,LB,LW;Germany;61;375000;1000;Left;;;
T. Clarke;Trevor Clarke;3/26/1998;26;165.1;66.2;LM,LB;Republic of Ireland;61;550000;1000;Left;;;
Y. Iwasaki;Yuto Iwasaki;6/11/1998;26;172.72;68.9;LW,CF;Japan;61;425000;1000;Right;;;
E. Linthorst;Evert Linthorst;3/3/2000;25;182.88;73;CM;Netherlands;61;400000;1000;Right;;;
D. Carr;Daniel Carr;5/29/1994;30;154.94;77.1;ST;England;61;325000;1000;Right;;;
D. Jarl;Daniel Jarl;4/13/1992;32;195.58;82.1;CB;Sweden;61;260000;1000;Left;;;
D. Klomp;Daan Klomp;8/10/1998;26;187.96;82.1;CB;Netherlands;61;325000;1000;Right;;;
M. Castro;Manuel Castro;9/27/1995;29;172.72;72.1;RM,LM;Uruguay;61;350000;3000;Right;;;
C. Martin;Collin Martin;11/9/1994;30;154.94;68;CDM,CM;United States;61;280000;1000;Right;;;
J. Chambers;Jack Chambers;7/12/2000;24;152.4;64.9;CM;Northern Ireland;60;400000;2000;Right;;;
Oleaga;Hodei Oleaga Alarcia;12/29/1996;28;198.12;87.1;GK;Spain;60;240000;2000;Right;;;
A. Zendejas;Alejandro Zendejas Saavedra;2/7/1998;27;170.18;64.9;LM;Mexico;60;325000;4000;Left;;;
K. Bigler;Kevin Bigler;10/5/1992;32;170.18;69.9;RB,LM,RM;Switzerland;60;210000;2000;Right;;;
D. Jarvis;Daniel Adam Jarvis;4/3/1998;26;152.4;64;CAM,CM;England;60;450000;4000;Right;;;
M. Barnes;Marcus Barnes;12/1/1996;28;185.42;72.1;ST;England;60;300000;5000;Left;;;
M. Bakhit;Masood Bekheet;1/5/1992;33;167.64;60.8;RB;Saudi Arabia;60;200000;2000;Right;;;
S. Peri_;Stefan Peri_;2/13/1997;28;185.42;79.8;CB;Austria;60;240000;1000;Right;;;
G. Herrem;Geir André Herrem;1/28/1988;37;187.96;82.1;ST,CF;Norway;60;200000;1000;Right;;;
J. Marcinkowski;James Marcinkowski;5/9/1997;27;185.42;83.9;GK;United States;60;280000;1000;Right;;;
J. Montaño;Jackson David Montaño Palacios;5/17/1993;31;170.18;68.9;RB;Colombia;60;230000;1000;Right;;;
D. Loader;Danny Loader;8/28/2000;24;182.88;68;ST,CAM;England;60;450000;3000;Right;;;
N. Rütten;Nils Rütten;7/20/1995;29;182.88;74.8;CDM,CB;Germany;60;260000;1000;Right;;;
D. Cole;Darren Cole;1/3/1992;33;187.96;79.8;CB,RB;Scotland;60;220000;1000;Right;;;
R. Mudra_ija;Robert Mudra_ija;5/5/1997;27;152.4;69.9;CM;Croatia;60;450000;2000;Right;;;
J. Williams;JJ Williams;1/4/1998;27;193.04;91.2;ST;United States;60;350000;1000;Right;;;
H. Al Ghamdi;Hamed Al Ghamdi;4/2/1999;25;160.02;59;CM,CAM,CDM;Saudi Arabia;60;450000;2000;Right;;;
G. Reilly;Gavin Reilly;5/10/1993;31;154.94;73;ST;Scotland;60;260000;2000;Right;;;
C. Slattery;Callum Slattery;2/8/1999;26;190.5;69.9;CAM,CM;England;60;450000;3000;Right;;;
J. Coustrain;Joel Coustrain;1/22/1996;29;172.72;68;RM,LM;Republic of Ireland;60;300000;1000;Left;;;
Kang Yun Seong;___ ___;7/1/1997;27;182.88;74.8;CM;Korea Republic;60;400000;1000;Right;;;
Park Jeong Su;___ ___;4/12/1994;30;187.96;76.2;CB,CDM;Korea Republic;60;210000;1000;Right;;;
A. Buongiorno;Alessandro Buongiorno;6/6/1999;25;190.5;79.8;LB,CB;Italy;60;400000;2000;Left;;;
Yang Jun;__;6/10/1981;43;187.96;78;GK;China PR;60;10000;2000;Right;;;
L. Gottwalt;Lukas Erhan Eberhard Gottwalt;9/16/1997;27;193.04;83.9;CB;Germany;60;325000;1000;Right;;;
K. Skoglund;Kim Skoglund;8/28/1987;37;182.88;78.9;CB;Sweden;60;150000;1000;Right;;;
B. Urba_ski;Bart_omiej Urba_ski;5/15/1998;26;175.26;68;CM,CDM;Poland;60;325000;1000;Left;;;
J. Velásquez;Jhon Velásquez;5/2/1995;29;175.26;69.9;RM;Colombia;60;325000;1000;Right;;;
C. Kühlwetter;Christian Kühlwetter;4/21/1996;28;154.94;74.8;LM,ST;Germany;60;300000;1000;Right;;;
Lee Ji Hoon;___ ___;3/24/1994;30;175.26;68.9;RB;Korea Republic;60;240000;1000;Right;;;
R. Mahazi;Rashid Mahazi;4/20/1992;32;152.4;74.8;CDM,CM;Australia;60;180000;1000;Right;;;
E. Erenler;Erten Erenler;6/28/1993;31;152.4;67.1;CB;Turkey;60;230000;2000;Right;;;
D. Cruz;Diego Cruz;1/13/1995;30;170.18;59.9;RB,LB,RWB,LWB;Mexico;60;230000;1000;Right;;;
E. Weeger;Eric Weeger;2/2/1997;28;152.4;73.9;RB,CDM;Germany;60;250000;1000;Right;;;
K. Krasniqi;Kamer Krasniqi;1/11/1996;29;152.4;67.1;CM,CDM,RB;Kosovo;60;300000;1000;Right;;;
J. Gibbons;James Gibbons;3/16/1998;26;175.26;59.9;RB,RWB;England;60;240000;2000;Right;;;
A. Favaro;Alessandro Favaro;7/18/1995;29;187.96;76.2;GK;Italy;60;200000;1000;Right;;;
Algobia;Ángel Algobia Esteves;6/23/1999;25;154.94;78;CM;Spain;60;450000;1000;Right;;;
N. Ferguson;Nathan Ferguson;10/6/2000;24;154.94;69.9;CB;England;60;375000;2000;Right;;;
Guo Quanbo;___;8/31/1997;27;185.42;79.8;GK;China PR;60;260000;1000;Right;;;
P. Ruiz;Pablo Enrique Ruíz;12/20/1998;26;172.72;68;LW,RW,LB,CM;Argentina;60;450000;1000;Left;;;
L. Croll;Luke Croll;1/10/1995;30;185.42;76.2;CB;England;60;240000;2000;Left;;;
F. Çakır;Faruk Çakır;2/8/1995;30;190.5;79.8;GK;Turkey;60;210000;2000;Right;;;
S. Murillo;Jesús Steven Murillo León;8/17/1993;31;175.26;73;LB;Colombia;60;230000;1000;Left;;;
M. Rauschenberg;Martin Rauschenberg;1/15/1992;33;187.96;83.9;CB;Denmark;60;210000;1000;Right;;;
V. Burgoa;Valentín Burgoa;8/16/2000;24;175.26;68;CM;Argentina;60;400000;1000;Left;;;
A. Al Harbi;Abdullah Al Harbi;1/28/1989;36;152.4;72.1;CB;Saudi Arabia;60;160000;2000;Left;;;
Liao Bochao;___;7/16/1987;37;154.94;69.9;RB;China PR;60;150000;2000;Right;;;
M. Okazaki;__ _;10/10/1998;26;154.94;73.9;CB,RB;Japan;60;400000;1000;Right;;;
T. Makowski;Tomasz Makowski;7/19/1999;25;152.4;72.1;CM,CDM,CAM;Poland;60;375000;1000;Right;;;
R. Izumi;__ __;11/6/1993;31;172.72;72.1;CM,LM,CB;Japan;60;270000;1000;Right;;;
M. Seidel;Mario Seidel;1/19/1995;30;185.42;82.1;GK;Germany;60;210000;1000;Right;;;
G. Abregú;Gustavo Abregú;7/4/1997;27;170.18;67.1;RB,CB,LB;Argentina;60;290000;1000;Right;;;
R. Germain;Ryo Germain;4/19/1995;29;182.88;74.8;ST;Japan;60;290000;1000;Right;;;
R. Strain;Ryan Strain;4/2/1997;27;154.94;76.2;RB;Australia;60;260000;1000;Right;;;
J. Maddox;Jacob Maddox;11/3/1998;26;152.4;72.1;LM;England;60;450000;1000;Right;;;
M. Lund;Marco Lund;6/30/1996;28;182.88;87.1;CB;Denmark;60;250000;2000;Right;;;
D. Chávez;Diego Chávez;5/11/1995;29;154.94;60.8;ST;Mexico;60;270000;1000;Right;;;
R. Miller;Ricky Miller;3/13/1989;35;175.26;76.2;ST;England;60;210000;3000;Left;;;
V. Drku_i_;Vanja Drku_i_;10/30/1999;25;185.42;79.8;CB;Slovenia;60;375000;1000;Right;;;
R. Fulton;Ryan Fulton;5/23/1996;28;190.5;69.9;GK;Scotland;60;210000;1000;Left;;;
P. Posipal;Patrick Posipal;3/3/1988;37;187.96;78;CDM,CB;Germany;60;150000;1000;Right;;;
Caio Marcelo;Caio Marcelo Pinheiro da Silva;3/14/1998;26;190.5;88;CB;Brazil;60;325000;1000;Right;;;
Hu Ruibao;___;10/17/1996;28;185.42;73;CB;China PR;60;270000;2000;Left;;;
Yang Qipeng;___;5/14/1987;37;185.42;76.2;GK;China PR;60;130000;2000;Right;;;
E. Fujishima;Eisuke Fujishima;1/31/1992;33;185.42;87.1;GK;Japan;60;170000;1000;Right;;;
A. Racioppi;Anthony Racioppi;12/31/1998;26;185.42;79.8;GK;Switzerland;60;375000;2000;Right;;;
T. Buhagiar;Trent Buhagiar;2/27/1998;27;152.4;64.9;CAM;Australia;60;375000;1000;Right;;;
P. Sussek;Patrick Sussek;2/8/2000;25;175.26;68;CAM,RM;Germany;60;425000;2000;Right;;;
Altube;Diego Altube Suárez;2/22/2000;25;187.96;84.8;GK;Spain;60;350000;3000;Right;;;
I. _asicki;Igor _asicki;6/26/1995;29;182.88;69.9;CB;Poland;60;250000;6000;Right;;;
San Román;Miguel San Román Ferrándiz;7/14/1997;27;187.96;78.9;GK;Spain;60;280000;3000;Right;;;
M. Ortíz;Marcelo Ortíz;1/13/1994;31;185.42;73.9;CB,RB;Argentina;60;240000;2000;Right;;;
H. Nakabayashi;__ __;4/28/1986;38;182.88;73;GK;Japan;60;120000;1000;Left;;;
J. Boller;Jan Boller;3/14/2000;24;185.42;82.1;CB,RB,LB;Germany;60;375000;3000;Right;;;
A. Nalic;Adi Nalic;12/1/1997;27;190.5;78;CAM,CF;Sweden;60;400000;1000;Right;;;
M. Hausjell;Marko Hausjell;6/6/1999;25;175.26;69.9;RM;Austria;60;400000;1000;Right;;;
F. Myhre;Felix Horn Myhre;3/4/1999;26;154.94;74.8;CDM;Norway;60;400000;1000;Right;;;
F. Ugrinic;Filip Ugrinic;1/5/1999;26;182.88;83.9;CM,CAM,CDM;Switzerland;60;450000;1000;Right;;;
L. Gibson;Lewis Gibson;7/19/2000;24;185.42;74.8;CB,LB;England;60;375000;4000;Left;;;
L. Martis;Liandro Felipe Martis;11/13/1995;29;170.18;73;LM;Curacao;60;290000;7000;Right;;;
E. Durrell;Elliott Durrell;7/31/1989;35;152.4;74.8;RW,RM,CAM;England;60;210000;2000;Right;;;
N. Fadiga;Noah Fadiga;12/3/1999;25;154.94;64.9;CAM,RM,LM;Belgium;60;425000;2000;Left;;;
E. Zehir;Ersin Zehir;1/15/1998;27;182.88;78;CDM;Germany;60;325000;2000;Right;;;
M. Zeidan;Moustafa Zeidan;6/7/1998;26;170.18;69.9;CM;Sweden;60;350000;1000;Left;;;
K. Bennetts;Keanan Bennetts;3/9/1999;26;182.88;73;LM,RM,LB;England;60;450000;2000;Left;;;
S. Nigro;Stefan Nigro;8/10/1996;28;154.94;69.9;LB,RB,CDM;Australia;60;280000;1000;Right;;;
K. Lowe;Keith Lowe;9/13/1985;39;187.96;87.1;CB;England;60;120000;2000;Right;;;
F. Piszczek;Filip Piszczek;5/26/1995;29;187.96;77.1;ST;Poland;60;300000;1000;Right;;;
Yeun Jong Gyu;Jong Gyu Yeun;3/20/1998;26;172.72;64;RB,LM,RM;Korea Republic;60;400000;1000;Right;;;
Gabriel Brazão;Gabriel Resende Brazão;10/5/2000;24;190.5;78;GK;Brazil;60;325000;1000;Right;;;
J. Novillo;Joaquín Novillo;2/19/1998;27;187.96;83;CB;Argentina;60;425000;2000;Right;;;
N. Katterbach;Noah Katterbach;4/13/2001;23;152.4;73;LWB;Germany;60;400000;1000;Left;;;
G. Gori;Gabriele Gori;2/13/1999;26;187.96;73.9;ST;Italy;60;450000;4000;Left;;;
J. Ochoa;Juan Guillermo Ochoa Tamayo;7/16/1996;28;185.42;83;CB;Colombia;60;280000;1000;Right;;;
M. Chajia;Moutir Chajia;6/4/1998;26;154.94;72.1;CF;Belgium;60;350000;1000;Right;;;
D. Fernández;Diego Fernández;3/8/1998;27;175.26;69.9;CM;Chile;60;290000;1000;Right;;;
M. Crowe;Michael Thomas Tallaksen Crowe;11/13/1995;29;193.04;83.9;GK;Wales;60;230000;1000;Right;;;
A. Nathaniel-George;Ashley Nathaniel-George;6/14/1995;29;175.26;68;LM;England;60;280000;1000;Right;;;
G. Bakırba_;Göktu_ Bakırba_;6/1/1996;28;195.58;83;GK;Turkey;60;210000;2000;Right;;;
Xavi Sintes;Xavier Sintes Egea;8/5/2001;23;190.5;71.2;CDM;Spain;60;375000;1000;Right;;;
D. Becker;Diego Becker;11/24/1997;27;170.18;66.2;LM,RM;Argentina;60;400000;2000;Left;;;
T. Pemberton;Tre Pemberton;1/3/1999;26;175.26;68;RW;England;60;450000;3000;Right;;;
Yun Ji Hyeok;___ Ji Hyeok Yun;2/7/1998;27;190.5;84.8;CB;Korea Republic;60;425000;1000;Right;;;
Y. Zahary;Younn Zahary;10/8/1998;26;190.5;82.1;CB;France;60;300000;1000;Right;;;
M. Tapias;Miguel Tapias;1/9/1997;28;154.94;72.1;CB;Mexico;60;270000;3000;Right;;;
C. Siya;Cerruti Siya;5/17/1999;25;154.94;79.8;CM,LM;Germany;60;450000;1000;Left;;;
M. Kouhyar;Maziar Kouhyar;9/29/1997;27;172.72;68.9;LM;Afghanistan;60;300000;1000;Right;;;
S. Wilson;Scott Wilson;1/11/1993;32;182.88;81.2;ST;England;60;260000;2000;Right;;;
R. Frantsen;Rune Frantsen;10/15/1991;33;182.88;76.2;RM,RB;Denmark;60;220000;2000;Right;;;
G. Ivanishvili;Giorgi Ivanishvili;10/18/1989;35;185.42;88;RM,LM;Georgia;60;210000;1000;Right;;;
N. Mbouhom;Nelson Mandela Mbouhom;5/4/1999;25;152.4;82.1;CF;Cameroon;60;375000;3000;Left;;;
Victor Campuzano;Víctor Campuzano Bonilla;5/31/1997;27;175.26;72.1;ST;Spain;60;350000;3000;Left;;;
A. Hollingen;Andreas Hollingen;10/2/1994;30;175.26;64.9;CM;Norway;60;270000;1000;Right;;;
D. Melichárek;Du_an Melichárek;11/29/1983;41;195.58;94.8;GK;Czech Republic;60;80000;1000;Right;;;
M. Choinière;Mathieu Choinière;2/7/1999;26;175.26;68;CAM,CM,LW;Canada;60;450000;1000;Right;;;
Y. Smyrnyi;Yevgeniy Smyrnyi;8/18/1998;26;185.42;74.8;CM,RM;Ukraine;60;450000;1000;Left;;;
E. Berger;Espen Hammer Berger;3/9/1994;30;185.42;74.8;CB;Norway;60;250000;1000;Right;;;
J. Dunleavy;Johnny Dunleavy;7/3/1991;33;182.88;71.2;RB,CB,LB;Republic of Ireland;60;180000;1000;Right;;;
T. Kodama;Tsuyoshi Kodama;12/28/1987;37;182.88;83.9;GK;Japan;60;130000;1000;Right;;;
Daniel Rebollo;Daniel Rebollo Franco;12/10/1999;25;187.96;78;GK;Spain;60;350000;1000;Right;;;
B. Gyamfi;Bright Gyamfi;1/20/1996;29;152.4;76.2;RB,CB;Ghana;60;240000;1000;Right;;;
Kim Jun Yub;___ Jun Yub Kim;5/10/1988;36;152.4;72.1;LB,RB;Korea Republic;60;150000;1000;Right;;;
G. Bello;George Bello;1/22/2002;23;170.18;68;LB,LM;United States;60;375000;1000;Left;;;
M. Gurski;Michael Gurski;3/21/1979;45;187.96;88.9;GK;Germany;60;10000;1000;Right;;;
C. Ilic;Christian Ilic;7/22/1996;28;152.4;73;LB,LM;Croatia;60;250000;1000;Right;;;
N. Antonov;Nemanja Antonov;5/6/1995;29;182.88;74.8;LB;Serbia;60;240000;2000;Left;;;
E. Arias;Emmanuel Arias;4/19/1993;31;175.26;64;CAM;Colombia;60;270000;1000;Left;;;
A. Bamba;Axel Bamba;7/6/1999;25;182.88;84.8;CB,CDM;Ivory Coast;60;375000;1000;Right;;;
J. Gulley;Justin Gulley;1/15/1993;32;175.26;69.9;CB,RB,RWB;New Zealand;60;220000;1000;Right;Wellington Phoenix;SUB;3
F. Musaev;Fozil Musaev;1/2/1989;36;182.88;73.9;CM,CDM,CB;Uzbekistan;60;200000;1000;Right;;;
S. Al Khayri;Saad Al Khayri;6/21/1995;29;172.72;74.8;RB,CB;Saudi Arabia;60;240000;3000;Right;;;
A. Tsvetkov;Aleksandar Tsvetkov;8/31/1990;34;154.94;74.8;CDM;Bulgaria;60;;;Right;;;
T. Kallevåg;Torbjørn Kallevåg;2/1/1993;32;152.4;64.9;LM;Norway;60;250000;1000;Right;;;
N. Keown;Niall Keown;4/5/1995;29;182.88;66.2;CB,RB;Republic of Ireland;60;300000;1000;Right;;;
O. Drost;Oliver Drost;11/4/1995;29;187.96;73;ST;Denmark;60;300000;2000;Right;;;
L. Sutton;Levi Sutton;3/24/1997;27;154.94;73.9;RB,CM;England;60;260000;1000;Right;;;
M. Bean;Marcus Bean;1/2/1984;41;154.94;73;CM,CDM;Jamaica;60;100000;1000;Right;;;
C. Pombo;Claudio Pombo;4/28/1994;30;170.18;64.9;CM;Argentina;60;280000;2000;Right;;;
A. Majrashi;Abdullah Majrashi;8/24/1997;27;170.18;69.9;CDM,LM;Saudi Arabia;60;325000;3000;Right;;;
L. Joyce;Luke Joyce;7/9/1987;37;154.94;76.2;CM,CDM;England;60;190000;3000;Right;;;
E. Andersson;Erik Andersson;5/3/1997;27;152.4;78;CM,LM;Sweden;60;350000;1000;Left;;;
U. Mohammed;Usman Mohammed;3/2/1994;31;182.88;76.2;CM;Nigeria;60;280000;1000;Right;;;
M. Saito;__ __;1/10/1999;26;165.1;60.8;CM,CAM,RM;Japan;60;325000;1000;Right;;;
